REPORT_DAT,PSA
4/4/13 4:56,101
3/4/13 20:42,106
3/4/13 19:30,102
3/4/13 16:57,105
3/4/13 14:14,108
3/4/13 10:03,102
2/4/13 18:20,102
2/4/13 9:52,102
1/4/13 22:00,102
1/4/13 21:03,107
1/4/13 17:54,103
1/4/13 16:00,103
1/4/13 15:53,105
1/4/13 4:09,103
31/3/13 19:53,102
31/3/13 12:00,103
31/3/13 1:00,102
30/3/13 20:50,104
30/3/13 19:20,108
30/3/13 19:03,102
30/3/13 19:00,102
30/3/13 17:05,104
30/3/13 16:12,101
30/3/13 15:30,106
30/3/13 14:50,105
30/3/13 10:00,108
30/3/13 1:05,102
29/3/13 22:50,102
29/3/13 21:48,101
29/3/13 15:45,101
29/3/13 12:00,101
29/3/13 1:07,108
28/3/13 19:22,102
28/3/13 18:57,102
28/3/13 9:49,102
27/3/13 20:54,104
27/3/13 19:45,101
27/3/13 17:23,107
27/3/13 16:57,102
27/3/13 16:15,106
27/3/13 16:12,102
27/3/13 15:30,102
27/3/13 14:33,108
27/3/13 13:43,102
27/3/13 12:24,102
26/3/13 22:29,101
26/3/13 20:58,104
26/3/13 19:55,108
26/3/13 19:48,104
26/3/13 19:35,102
26/3/13 17:13,101
26/3/13 16:30,102
26/3/13 15:11,101
26/3/13 12:00,106
26/3/13 0:50,102
25/3/13 22:01,105
25/3/13 20:05,105
25/3/13 16:14,106
25/3/13 16:00,104
25/3/13 7:58,101
24/3/13 21:05,101
24/3/13 15:30,101
24/3/13 13:29,101
24/3/13 12:00,104
24/3/13 11:00,102
22/3/13 17:38,102
22/3/13 15:34,102
22/3/13 14:36,101
22/3/13 9:35,104
22/3/13 9:05,103
21/3/13 23:55,101
21/3/13 22:13,102
21/3/13 19:17,105
21/3/13 14:25,106
21/3/13 10:36,104
21/3/13 8:35,101
20/3/13 23:33,105
20/3/13 15:18,108
20/3/13 12:21,101
20/3/13 6:05,102
19/3/13 21:00,103
19/3/13 19:29,102
19/3/13 18:16,102
19/3/13 16:56,105
19/3/13 15:33,105
19/3/13 13:43,104
19/3/13 12:13,101
19/3/13 11:35,106
19/3/13 9:54,102
19/3/13 9:18,101
19/3/13 8:55,108
18/3/13 21:16,108
18/3/13 19:33,104
18/3/13 18:52,106
18/3/13 9:57,105
17/3/13 21:54,103
17/3/13 20:07,101
17/3/13 17:35,104
17/3/13 16:07,105
17/3/13 14:55,106
17/3/13 14:39,104
16/3/13 14:56,107
16/3/13 9:42,102
16/3/13 1:06,104
15/3/13 21:15,107
15/3/13 17:10,102
15/3/13 16:08,107
15/3/13 16:05,107
15/3/13 16:00,105
15/3/13 15:36,102
15/3/13 15:10,107
15/3/13 15:02,107
15/3/13 14:06,107
15/3/13 13:42,107
15/3/13 13:30,107
15/3/13 13:23,107
15/3/13 12:00,106
15/3/13 12:00,105
15/3/13 10:32,103
14/3/13 22:07,102
14/3/13 18:00,104
14/3/13 17:50,102
14/3/13 13:17,102
13/3/13 18:51,101
13/3/13 11:04,103
13/3/13 11:00,103
12/3/13 23:30,102
12/3/13 16:19,102
12/3/13 15:16,106
12/3/13 10:47,103
12/3/13 9:45,106
12/3/13 1:38,102
11/3/13 22:44,102
11/3/13 22:10,107
11/3/13 21:27,102
11/3/13 18:35,101
11/3/13 17:33,108
10/3/13 22:29,101
10/3/13 19:04,108
10/3/13 17:15,108
10/3/13 14:08,101
10/3/13 11:15,106
9/3/13 21:44,102
9/3/13 21:09,101
9/3/13 14:30,102
9/3/13 12:53,102
9/3/13 11:45,101
9/3/13 0:26,107
8/3/13 20:34,101
8/3/13 18:53,108
8/3/13 17:08,102
8/3/13 16:49,101
8/3/13 14:53,108
8/3/13 12:00,108
8/3/13 10:37,104
8/3/13 1:27,105
7/3/13 21:11,101
7/3/13 16:55,106
7/3/13 15:45,103
7/3/13 15:30,102
7/3/13 12:43,101
7/3/13 12:30,105
7/3/13 12:23,107
7/3/13 11:11,107
7/3/13 10:19,102
7/3/13 9:46,104
6/3/13 22:50,102
6/3/13 18:38,104
6/3/13 18:26,102
6/3/13 17:21,103
6/3/13 13:41,108
6/3/13 13:30,108
6/3/13 0:49,102
5/3/13 22:00,101
5/3/13 20:47,103
5/3/13 19:15,103
5/3/13 17:46,108
5/3/13 17:00,106
5/3/13 12:00,107
5/3/13 5:47,105
4/3/13 21:19,102
4/3/13 20:00,107
4/3/13 18:18,105
4/3/13 12:57,102
4/3/13 12:23,102
4/3/13 11:27,107
4/3/13 10:59,101
4/3/13 10:02,102
3/3/13 17:07,105
3/3/13 9:35,102
