REPORT_DAT,PSA,WARD,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
285240,107,6,26,8200, 89,16069504,399886,135899,277200,280800
267900,103,2,8,5900, 143,16069442,398595,136801,251700,258600
248160,102,6,8,4702, 1,16069334,398532,137185,238800,245400
248040,105,6,9,11000, 127,16069300,398556,134091,432000,226800
247020,102,6,8,4701, 1,16069322,398477,137319,241200,241500
246600,104,6,25,8301, 83,16069330,400042,136856,239400,240000
246540,104,6,25,8402, 82,16069318,400735,136855,241800,246480
245160,107,6,26,6700, 88,16069315,400734,135441,2464800,2487600
244500,104,6,25,8301, 83,16069249,399886,136928,233700,233940
243660,106,6,26,7100, 91,16069235,401014,134725,234960,235200
240060,108,6,26,6900, 91,16069267,401090,135279,235800,236400
239460,101,2,8,5800, 129,16069261,397654,136665,237600,239100
237180,106,6,27,7200, 131,16069219,399421,134605,201600,216000
236880,101,2,8,10100, 129,16069228,397497,136959,159600,
234120,101,2,8,5800, 129,16069174,397328,136474,208800,224400
233640,102,2,8,5800, 143,16069182,398358,136942,230520,230760
233520,108,6,26,6801, 87,16069058,401745,135773,2539800,2552400
221820,104,6,25,10600, 83,16069036,399823,137425,1681200,1683000
219900,108,6,26,6802, 87,16068926,401745,135140,203220,206820
219420,105,6,9,6400, 127,16069038,399076,133996,237600,217140
215580,102,2,8,5900, 143,16068996,398508,136963,211560,214080
214320,101,2,8,5800, 129,16068927,397831,137105,154800,194400
212640,108,6,26,6801, 87,16400872,401480,135528,736200,1002600
211740,108,6,26,6900, 91,16400860,401418,134859,1684200,1706400
210960,103,6,8,5900, 1,16068931,399111,136474,203100,207420
209820,101,2,8,5800, 129,16068963,397228,136778,2004180,
205440,106,6,27,7200, 131,16068921,399491,134192,2559600,196200
180720,107,6,26,6500, 130,16068845,399760,134918,113400,178380
163800,102,6,8,4701, 1,16068744,398477,137319,151200,158400
163500,107,6,26,6500, 89,16068755,400232,135255,162000,162480
161220,107,6,25,8302, 85,16068738,400437,136259,151200,154200
157560,106,6,26,7000, 90,16068706,400234.6609,134688.1745,572400,579600
157380,102,6,8,4701, 1,16068697,398477,137319,145800,153900
153840,105,6,9,7200, 128,16068677,399210.55,134299.54,150840,151740
152460,104,6,25,8402, 82,16068668,400790,136927,150600,151500
145800,104,6,25,8302, 83,16068613,400233,136927,144480,144720
145200,102,6,8,4701, 1,16068604,398477,137319,2491200,138600
132780,105,6,9,6400, 127,16060071,398943,133729,1583760,1588440
130680,107,6,26,7000, 90,16068505,400589,135069,2655000,2671200
127560,104,6,25,8301, 84,16066057,400134,136507,2377500,2386020
126960,104,6,25,8301, 83,16061620,399996,136928,1776720,1782900
126660,104,6,25,8402, 82,16060137,400463,136784,1592280,1595580
