REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
6/23/2016 5:17:56 AM,MIDNIGHT,ROBBERY,GUN,1102 - 1107 BLOCK OF W STREET SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 119,16102673,400788,133079,6/23/2016 3:45:46 AM,6/23/2016 3:46:36 AM
6/2/2016 9:32:35 PM,EVENING,THEFT/OTHER,OTHERS,2300 - 2399 BLOCK OF GREEN STREET SE,7,701,8,8A,Cluster 28,007504 1,007504,Precinct 114,16089373,401606,132657,6/2/2016 8:29:55 PM,6/2/2016 8:39:53 PM
6/2/2016 11:44:46 PM,MIDNIGHT,ROBBERY,GUN,1200 - 1299 BLOCK OF MAPLE VIEW PLACE SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 114,16089440,400866,132842,6/2/2016 9:47:35 PM,6/2/2016 9:57:00 PM
6/16/2016 9:06:14 PM,EVENING,THEFT/OTHER,OTHERS,1600 - 1899 BLOCK OF W STREET SE,7,701,8,8A,Cluster 28,007504 1,007504,Precinct 114,16098298,401712,132801,6/16/2016 1:00:07 PM,6/16/2016 1:50:50 PM
6/16/2016 7:42:18 PM,EVENING,BURGLARY,OTHERS,444 799  BLOCK OF CONDON TERRACE SE,7,706,8,8E,Cluster 39,009801 1,009801,Precinct 121,16098512,400216,129491,6/16/2016 3:45:17 PM,6/16/2016 6:15:53 PM
6/9/2016 12:00:00 AM,MIDNIGHT,HOMICIDE,GUN,912 - 999 BLOCK OF VARNEY STREET SE,7,706,8,8E,Cluster 39,009700 1,009700,Precinct 121,16094085,400814,129809,6/9/2016 10:26:59 PM,6/9/2016 11:06:44 PM
6/3/2016 10:49:20 AM,DAY,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF V STREET SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 114,16089641,401000,133082,6/3/2016 9:45:03 AM,6/3/2016 9:50:32 AM
6/3/2016 12:58:24 PM,DAY,THEFT/OTHER,OTHERS,3400 - 3699 BLOCK OF 4TH STREET SE,7,707,8,8C,Cluster 39,009803 1,009803,Precinct 122,16089654,399950,130181,6/2/2016 6:45:08 PM,6/3/2016 10:30:16 AM
6/15/2016 10:40:37 AM,DAY,THEFT F/AUTO,OTHERS,3100 - 3299 BLOCK OF BUENA VISTA TERRACE SE,7,702,8,8B,Cluster 36,007408 1,007408,Precinct 115,16097476,402911,131429,6/15/2016 12:50:35 AM,6/15/2016 10:00:31 AM
6/15/2016 4:29:17 PM,EVENING,THEFT F/AUTO,OTHERS,2 - 199 BLOCK OF GALVESTON STREET SW,7,708,8,8D,Cluster 39,010900 1,010900,Precinct 126,16097659,399228,128424,6/15/2016 1:30:12 PM,6/15/2016 4:04:12 PM
6/10/2016 1:54:32 PM,DAY,BURGLARY,OTHERS,1500 - 1625 BLOCK OF BUTLER STREET SE,7,701,8,8A,Cluster 28,007503 2,007503,Precinct 114,16094351,401391,132595,6/9/2016 6:00:03 PM,6/10/2016 10:45:21 AM
6/15/2016 8:15:16 PM,EVENING,THEFT F/AUTO,OTHERS,1100 - 1237 BLOCK OF SUMNER ROAD SE,7,703,8,8C,Cluster 37,007401 1,007401,Precinct 119,16097824,400211,132550,6/15/2016 1:00:31 PM,6/15/2016 1:10:05 PM
6/9/2016 12:14:54 PM,DAY,ASSAULT W/DANGEROUS WEAPON,KNIFE,1000 - 1199 BLOCK OF SOUTHERN AVENUE SE,7,706,8,8E,Cluster 39,009700 1,009700,Precinct 121,16093586,401169,129438,6/9/2016 10:35:24 AM,6/9/2016 10:40:09 AM
6/8/2016 5:05:16 PM,EVENING,ROBBERY,GUN,2100 - 2199 BLOCK OF 14TH STREET SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 114,16093037,401235,132978,6/8/2016 3:04:50 PM,6/8/2016 3:20:07 PM
6/8/2016 5:23:04 PM,EVENING,ROBBERY,GUN,1200 - 1299 BLOCK OF MAPLE VIEW PLACE SE,7,701,8,8A,Cluster 28,007503 1,007503,Precinct 114,16093059,400866,132842,6/8/2016 2:28:28 PM,6/8/2016 2:30:56 PM
