REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE
5/11/2016 9:49:28 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,2500 - 2999 BLOCK OF SOUTHERN AVENUE SE,7,702,8,8B,Cluster 38,,,Precinct 116,16075026,402901,131166,5/11/2016 7:15:46 PM,5/11/2016 8:37:16 PM
5/13/2016 5:27:15 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,2627 2699  BLOCK OF STANTON ROAD SE,7,703,8,8A,Cluster 37,007406 1,007406,Precinct 118,16075813,400863,132294,5/12/2016 8:40:55 PM,5/13/2016 4:09:57 AM
5/25/2016 1:31:32 PM,DAY,THEFT F/AUTO,OTHERS,1500 - 1599 BLOCK OF TANNER COURT SE,7,704,8,8E,Cluster 38,007404 2,007404,Precinct 117,16075870,401585,131096,5/12/2016 9:00:36 PM,5/13/2016 6:00:45 AM
5/13/2016 11:37:04 AM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,4800 - 4899 BLOCK OF 1ST STREET SW,7,708,8,8D,Cluster 39,010900 2,010900,Precinct 126,16075919,399537,128114,5/13/2016 10:01:22 AM,5/13/2016 10:45:50 AM
5/13/2016 4:36:25 PM,EVENING,ROBBERY,KNIFE,1600 - 1699 BLOCK OF 21ST PLACE SE,7,701,8,8A,Cluster 34,007601 3,007601,Precinct 133,16076064,402086,133587,5/13/2016 3:06:54 PM,5/13/2016 4:25:23 PM
5/13/2016 6:28:35 PM,EVENING,BURGLARY,OTHERS,100 - 147 BLOCK OF WAYNE PLACE SE,7,707,8,8C,Cluster 39,009803 3,009803,Precinct 124,16076178,399581,129706,5/13/2016 5:00:49 PM,5/13/2016 5:27:33 PM
5/13/2016 8:46:18 PM,EVENING,THEFT/OTHER,OTHERS,3600 - 3699 BLOCK OF BROTHERS PLACE SE,7,707,8,8C,Cluster 39,010400 1,010400,Precinct 124,16076270,399453,130191,5/13/2016 8:19:00 PM,5/13/2016 8:38:18 PM
5/16/2016 1:11:21 AM,MIDNIGHT,ROBBERY,GUN,2400 2412  BLOCK OF WAGNER STREET SE,7,702,8,8B,Cluster 36,007502 1,007502,Precinct 134,16077606,402418,132495,5/15/2016 11:45:36 PM,5/15/2016 11:55:17 PM
5/16/2016 5:20:37 AM,MIDNIGHT,THEFT F/AUTO,OTHERS,1501 1598  BLOCK OF GOOD HOPE ROAD SE,7,701,8,8A,Cluster 28,007504 1,007504,Precinct 114,16077609,401500,133168,5/15/2016 11:30:03 PM,5/16/2016 2:01:09 AM
5/16/2016 11:09:57 AM,DAY,THEFT/OTHER,OTHERS,2700 - 2747 BLOCK OF NAYLOR ROAD SE,7,702,8,8B,Cluster 36,007502 2,007502,Precinct 134,16077760,402760,132416,5/16/2016 10:00:51 AM,5/16/2016 10:20:47 AM
